header,organism,mol_type,isolate,isolation_source,host,geo_loc_name,collection_date
MN185331.1,Zika virus,genomic RNA,Guadeloupe_Aedes_aegypti_T961,,Aedes aegypti,Guadeloupe,2016
MN185330.1,Zika virus,genomic RNA,Guadeloupe_Aedes_aegypti_T912,,Aedes aegypti,Guadeloupe,2016
MN185329.1,Zika virus,genomic RNA,Guadeloupe_Aedes_aegypti_T1506,,Aedes aegypti,Guadeloupe,2016
MN185328.1,Zika virus,genomic RNA,Guadeloupe_Aedes_aegypti_T1141,,Aedes aegypti,French Guiana,2016
MN185327.1,Zika virus,genomic RNA,Guadeloupe_Aedes_aegypti_T1044,,Aedes aegypti,Guadeloupe,2016
MN185326.1,Zika virus,genomic RNA,Guadeloupe_Aedes_aegypti_T1010,,Aedes aegypti,French Guiana,2016
MN185325.1,Zika virus,genomic RNA,Guadeloupe_Aedes_aegypti_T910_2,,Aedes aegypti,Guadeloupe,2016
MN185324.1,Zika virus,genomic RNA,Guadeloupe_Aedes_aegypti_T905,,Aedes aegypti,Guadeloupe,2016
MN124091.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/PAN/CDC-259249_V1-V3/2015,brain,Homo sapiens,Panama,11-Dec-2015
MN124090.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/PAN/CDC-259249_V1-V3/2015,brain,Homo sapiens,Panama,11-Dec-2015
MK269360.1,Zika virus,genomic RNA,FLSR103,serum,Homo sapiens,USA,09-Aug-2016
MK269357.1,Zika virus,genomic RNA,FLUR096,urine,Homo sapiens,USA,03-Sep-2016
MK269353.1,Zika virus,genomic RNA,FLSR118,serum,Homo sapiens,USA,28-Aug-2016
MH063265.1,Zika virus,genomic RNA,ZIKV/Homo_sapiens/Cuba/2017/FL057U,urine,Homo sapiens,Cuba,17-Jul-2017
MH063264.1,Zika virus,genomic RNA,ZIKV/Homo_sapiens/Cuba/2017/FL055Se,serum,Homo sapiens,Cuba,13-Aug-2017
MH063262.1,Zika virus,genomic RNA,ZIKV/Homo_sapiens/Cuba/2017/FL051Se,serum,Homo sapiens,Cuba,17-Jul-2017
MH063261.1,Zika virus,genomic RNA,ZIKV/Homo_sapiens/Cuba/2017/FL049U,urine,Homo sapiens,Cuba,24-Sep-2017
MH063260.1,Zika virus,genomic RNA,ZIKV/Homo_sapiens/Cuba/2017/FL047U,urine,Homo sapiens,Cuba,08-Aug-2017
MF159531.1,Zika virus,genomic RNA,ZIKV/Homo_sapiens/Cuba/2017/Hu0046Sa,saliva,Homo sapiens,USA,2017-04-19
MH900227.1,Zika virus,genomic RNA,31N,,Aedes aegypti larvae,Mexico: Morelos,2016
MH675630.1,Zika virus,genomic RNA,QTX-04,blood donor sample,Homo sapiens,USA,Sep-2016
MH675629.1,Zika virus,genomic RNA,QTX-02,blood donor sample,Homo sapiens,Puerto Rico,Aug-2016
MH675628.1,Zika virus,genomic RNA,CTS-223-16p,blood donor sample,Homo sapiens,Puerto Rico,Aug-2016
MH675627.1,Zika virus,genomic RNA,CTS-193-16p,blood donor sample,Homo sapiens,Puerto Rico,Aug-2016
MH675626.1,Zika virus,genomic RNA,CTS-183-16p,blood donor sample,Homo sapiens,Puerto Rico,Aug-2016
MH675625.1,Zika virus,genomic RNA,CTS-178-16p,blood donor sample,Homo sapiens,Puerto Rico,Aug-2016
MH675624.1,Zika virus,genomic RNA,CTS-61-16p,blood donor sample,Homo sapiens,Puerto Rico,Jun-2016
MH675623.1,Zika virus,genomic RNA,CTS-56-16p,blood donor sample,Homo sapiens,Puerto Rico,Jun-2016
MH675622.1,Zika virus,genomic RNA,CTS-50-16p,blood donor sample,Homo sapiens,Puerto Rico,Jun-2016
MH675621.1,Zika virus,genomic RNA,CTS-47-16p,blood donor sample,Homo sapiens,Puerto Rico,May-2016
MH675620.1,Zika virus,genomic RNA,CTS-36-16p,blood donor sample,Homo sapiens,Puerto Rico,May-2016
MH675619.1,Zika virus,genomic RNA,CTS-30-16p,blood donor sample,Homo sapiens,Puerto Rico,May-2016
MK028861.1,Zika virus,genomic RNA,Zika virus/H.sapiens-tc/Panama/2015/259359,serum,Homo sapiens,Panama,2015
MK028860.1,Zika virus,genomic RNA,Zika virus/A.africanus-tc/Senegal/1984/DAK AR 41524,mosquito,Aedes africanus,Senegal: Kedougou,1984
MK028859.1,Zika virus,genomic RNA,Zika virus/H.sapiens-tc/Panama/2015/259364,serum,Homo sapiens,Panama,2015
MK028858.1,Zika virus,genomic RNA,Zika virus/H.sapiens-tc/Panama/2015/259249,serum,Homo sapiens,Panama,2015
MK028857.1,Zika virus,genomic RNA,Zika virus/H.sapiens-tc/Puerto Rico/2015/PRVABC59,serum,Homo sapiens,Puerto Rico,2015
KX051563.1,Zika virus,viral cRNA,Haiti/1/2016,saliva and urine,Homo sapiens,USA,05-Feb-2016
MK713748.1,Zika virus,genomic RNA,PRVABC59,,Homo sapiens,Puerto Rico,01-Dec-2015
MH179341.1,Zika virus,genomic RNA,COL345Si,,Aedes aegypti,Colombia,10-Dec-2015
MH882548.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV19Fsem_2016-06-09,semen,Homo sapiens,Brazil,2016-06-09
MH882547.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV19Esem_2016-06-02,semen,Homo sapiens,Brazil,2016-06-02
MH882546.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV19Dsem_2016-05-24,semen,Homo sapiens,Brazil,2016-05-24
MH882545.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV19Csem_2016-05-19,semen,Homo sapiens,Brazil,2016-05-19
MH882544.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV19Bsem_2016-05-12,semen,Homo sapiens,Brazil,2016-05-12
MH882543.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV19Auri_2016-05-05,urine,Homo sapiens,Brazil,2016-05-05
MH882542.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV17uri_2016-04-19,urine,Homo sapiens,Brazil,2016-04-19
MH882541.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV17sem_2016-04-19,semen,Homo sapiens,Brazil,2016-04-19
MH882540.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV17Nsem_2016-07-27,semen,Homo sapiens,Brazil,2016-07-27
MH882539.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV17Msem_2016-07-19,semen,Homo sapiens,Brazil,2016-07-19
MH882538.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV17Lsem_2016-07-12,semen,Homo sapiens,Brazil,2016-07-12
MH882536.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV17Jsem_2016-06-28,semen,Homo sapiens,Brazil,2016-06-28
MH882535.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV17Hsem_2016-06-16,semen,Homo sapiens,Brazil,2016-06-16
MH882534.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV17Gsem_2016-06-08,semen,Homo sapiens,Brazil,2016-06-08
MH882533.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV17Fsem_2016-05-31,semen,Homo sapiens,Brazil,2016-06-03
MH882532.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV17Esem_2016-05-24,semen,Homo sapiens,Brazil,2016-05-24
MH882531.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV17Dsem_2016-05-17,semen,Homo sapiens,Brazil,2016-05-17
MH882530.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV17Csem_2016-05-10,semen,Homo sapiens,Brazil,2016-05-10
MH882529.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV17Bsem_2016-05-03,semen,Homo sapiens,Brazil,2016-05-03
MH882528.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV17Auri_2016-04-26,urine,Homo sapiens,Brazil,2016-04-26
MH882527.1,Zika virus,genomic RNA,Zika virus/H.sapiens-wt/BRA/2016/ZKV17Asem_2016-04-26,semen,Homo sapiens,Brazil,2016-04-26
MK049252.1,Zika virus,genomic RNA,COL/FH07/2016,serum,Homo sapiens,Colombia,16-May-2016
MK049249.1,Zika virus,genomic RNA,COL/FH09/2016,serum,Homo sapiens,Colombia,02-Nov-2016
MK049248.1,Zika virus,genomic RNA,COL/FH05/2016,serum,Homo sapiens,Colombia,27-Jul-2016
MK049247.1,Zika virus,genomic RNA,Aedes_aegypti/COL/FH04/2016,,Aedes aegypti,Colombia,29-Jan-2016
MK049246.1,Zika virus,genomic RNA,COL/FH03/2016,serum,Homo sapiens,Colombia,09-Mar-2016
MK049245.1,Zika virus,genomic RNA,COL/FH02/2016,serum,Homo sapiens,Colombia,29-Feb-2016
MK105975.1,Zika virus,genomic RNA,,,African green monkey,Uganda,14-Jun-2016
MG770188.1,Zika virus,genomic RNA,SV0127-14,,,,
MG770187.1,Zika virus,genomic RNA,SV0127-14,,,,
MH916806.1,Zika virus,genomic RNA,,,,,
MH916803.1,Zika virus,genomic RNA,,,,,
MH916802.1,Zika virus,genomic RNA,,,,,
MF510857.1,Zika virus,genomic RNA,Zika virus/Aedes taylori/Senegal/1984/DakAr41667,,Aedes taylori,Senegal,12-Jun-1984
MH763833.1,Zika virus,genomic RNA,ZKV-RIPL-d515,semen,Homo sapiens,Brazil,
MH763832.1,Zika virus,genomic RNA,ZKV-RIPL-d13,semen,Homo sapiens,Brazil,
MH013290.1,Zika virus,genomic RNA,BKK07,brain,Homo sapiens,Thailand,01-Oct-2017
MG807647.1,Zika virus,genomic RNA,SI-BKK06,urine,Homo sapiens,Thailand,07-Sep-2017
MG807646.1,Zika virus,genomic RNA,SI-BKK05,urine,Homo sapiens,Thailand,11-Nov-2016
MG548661.1,Zika virus,genomic RNA,BKK04,placenta,Homo sapiens,Thailand,30-Nov-2016
MG548660.1,Zika virus,genomic RNA,BKK03,amniotic,Homo sapiens,Thailand,30-Nov-2016
MF996804.1,Zika virus,genomic RNA,SI-BKK02,brain,Homo sapiens,Thailand,07-Aug-2017
MH368551.1,Zika virus,genomic RNA,FSS13025,,,Cambodia,14-Jun-2016
MF073359.1,Zika virus,genomic RNA,15098,serum,Homo sapiens,Brazil,01-Mar-2015
MF073358.1,Zika virus,genomic RNA,15261,serum,Homo sapiens,Brazil,01-Jun-2015
MF073357.1,Zika virus,genomic RNA,16288,,Homo sapiens,Brazil,01-Feb-2016
MH255601.1,Zika virus,genomic RNA,ZKA-16-922,blood,Homo sapiens,Singapore,01-Sep-2016
MH158237.1,Zika virus,genomic RNA,PRVABC59,,Homo sapiens,Puerto Rico,2015
MH158236.1,Zika virus,genomic RNA,FSS13025,,Homo sapiens,Cambodia,2010
MG758786.1,Zika virus,genomic RNA,41525,,,,
MG758785.1,Zika virus,genomic RNA,41525,,,,
MH130109.1,Zika virus,genomic RNA,P12,,,,
MH130108.1,Zika virus,genomic RNA,P12,,,,
MH130107.1,Zika virus,genomic RNA,P12,,,,
MH130106.1,Zika virus,genomic RNA,P12,,,,
MH130105.1,Zika virus,genomic RNA,P12,,,,
MH130104.1,Zika virus,genomic RNA,P12,,,,
MH130103.1,Zika virus,genomic RNA,P12,,,,
MH130102.1,Zika virus,genomic RNA,P12,,,,
MH130101.1,Zika virus,genomic RNA,P12,,,,
MH130100.1,Zika virus,genomic RNA,P12,,,,
MH130099.1,Zika virus,genomic RNA,P12,,,,
MH130098.1,Zika virus,genomic RNA,P12,,,,
MH130097.1,Zika virus,genomic RNA,P12,,,,
MH130096.1,Zika virus,genomic RNA,P12,,,,
MH130095.1,Zika virus,genomic RNA,P12,,,,
MH130094.1,Zika virus,genomic RNA,P12,,,,
MH157213.1,Zika virus,genomic RNA,,,Homo sapiens,"Mexico: Tapachula, Chiapas",23-Jun-2016
MH157208.1,Zika virus,genomic RNA,,,Homo sapiens,"Mexico: Tapachula, Chiapas",22-Aug-2016
MH157202.1,Zika virus,genomic RNA,,,Homo sapiens,"Mexico: Tapachula, Chiapas",10-Aug-2016
KX893855.1,Zika virus,genomic RNA,,serum,Homo sapiens; symptomatic breast-feeding infant,Venezuela,25-Mar-2016
KX702400.1,Zika virus,genomic RNA,,"whole breast milk, and separated fat and liquid components",Homo sapiens; lactating female with acute symptoms,Venezuela: Barquisimeto,25-Mar-2016
MH119185.1,Zika virus,genomic RNA,DMSc05684-16,clinical serum sample in C6/36 cell line,Homo sapiens,Thailand,01-Dec-2016
MH063259.1,Zika virus,genomic RNA,ZIKV/Homo_sapiens/Cuba/2017/FL046Se,serum,Homo sapiens,Cuba,26-Jul-2017
MH061915.1,Zika virus,genomic RNA,P12,,,,
MH061914.1,Zika virus,genomic RNA,P10,,,,
MH061913.1,Zika virus,genomic RNA,P10,,,,
MH061912.1,Zika virus,genomic RNA,P10,,,,
MH061911.1,Zika virus,genomic RNA,P10,,,,
MH061910.1,Zika virus,genomic RNA,P7,,,,
MH061909.1,Zika virus,genomic RNA,P5,,,,
MH061908.1,Zika virus,genomic RNA,P12,,,,
MH061907.1,Zika virus,genomic RNA,P10,,,,
MH061906.1,Zika virus,genomic RNA,P7,,,,
MH061905.1,Zika virus,genomic RNA,P8,,,,
MH061904.1,Zika virus,genomic RNA,P8,,,,
MH061903.1,Zika virus,genomic RNA,P8,,,,
MH061902.1,Zika virus,genomic RNA,P7,,,,
MH061901.1,Zika virus,genomic RNA,P10,,,,
MH061900.1,Zika virus,genomic RNA,P12,,,,
MH061899.1,Zika virus,genomic RNA,P8,,,,
MH061898.1,Zika virus,genomic RNA,P7,,,,
MH061897.1,Zika virus,genomic RNA,P8,,,,
MH061896.1,Zika virus,genomic RNA,P8,,,,
MH061895.1,Zika virus,genomic RNA,P12,,,,
MH061894.1,Zika virus,genomic RNA,P7,,,,
MH061893.1,Zika virus,genomic RNA,P10,,,,
MH061892.1,Zika virus,genomic RNA,P12,,,,
MH061891.1,Zika virus,genomic RNA,P7,,,,
MH061890.1,Zika virus,genomic RNA,P8,,,,
MH061889.1,Zika virus,genomic RNA,P8,,,,
MH061888.1,Zika virus,genomic RNA,P5,,,,
MH061887.1,Zika virus,genomic RNA,P12,,,,
MH061886.1,Zika virus,genomic RNA,P7,,,,
MH061885.1,Zika virus,genomic RNA,P8,,,,
MH061884.1,Zika virus,genomic RNA,P10,,,,
MH061883.1,Zika virus,genomic RNA,P7,,,,
MH061882.1,Zika virus,genomic RNA,P10,,,,
MH061881.1,Zika virus,genomic RNA,P10,,,,
MH061880.1,Zika virus,genomic RNA,P12,,,,
MH061879.1,Zika virus,genomic RNA,P10,,,,
MH061878.1,Zika virus,genomic RNA,P8,,,,
MH061877.1,Zika virus,genomic RNA,P7,,,,
MH061876.1,Zika virus,genomic RNA,P12,,,,
MH061875.1,Zika virus,genomic RNA,P5,,,,
MH061874.1,Zika virus,genomic RNA,P8,,,,
MH061873.1,Zika virus,genomic RNA,P7,,,,
MH061872.1,Zika virus,genomic RNA,P8,,,,
MH061871.1,Zika virus,genomic RNA,P7,,,,
MH061870.1,Zika virus,genomic RNA,P5,,,,
MH061869.1,Zika virus,genomic RNA,P8,,,,
MH061868.1,Zika virus,genomic RNA,P8,,,,
MH061867.1,Zika virus,genomic RNA,P10,,,,
MH061866.1,Zika virus,genomic RNA,P10,,,,
MH061865.1,Zika virus,genomic RNA,P8,,,,
MH061864.1,Zika virus,genomic RNA,P7,,,,
MH061863.1,Zika virus,genomic RNA,P7,,,,
MH061862.1,Zika virus,genomic RNA,P10,,,,
MH061861.1,Zika virus,genomic RNA,P10,,,,
MH061860.1,Zika virus,genomic RNA,P7,,,,
MH061859.1,Zika virus,genomic RNA,P5,,,,
MH061858.1,Zika virus,genomic RNA,P7,,,,
MH061857.1,Zika virus,genomic RNA,P5,,,,
MH061856.1,Zika virus,genomic RNA,P8,,,,
MH061855.1,Zika virus,genomic RNA,P7,,,,
MH061854.1,Zika virus,genomic RNA,P5,,,,
MH061853.1,Zika virus,genomic RNA,P10,,,,
MH061852.1,Zika virus,genomic RNA,P5,,,,
MG827392.1,Zika virus,genomic RNA,,serum,Homo sapiens,French Polynesia,25-Oct-2013
KY441403.1,Zika virus,genomic RNA,BR_SJRP1840,,Homo sapiens,Brazil,11-Jan-2016
KY441402.1,Zika virus,genomic RNA,BR_SJRP61,,Homo sapiens,Brazil,05-Apr-2016
KY441401.1,Zika virus,genomic RNA,BR_SJRP21,,Homo sapiens,Brazil,29-Feb-2016
MF988734.1,Zika virus,genomic RNA,SG(EHI)ZIKV/33164Y17,blood,Homo sapiens,Singapore,Aug-2017
MG674719.1,Zika virus,genomic RNA,ZKC2P6,,Homo sapiens,China,16-Apr-2016
MG674718.1,Zika virus,genomic RNA,ZKC2P4,,Homo sapiens,China,16-Apr-2016
MG645981.1,Zika virus,genomic RNA,CVD_06-274,serum,Homo sapiens,Thailand,28-Oct-2006
MG595216.1,Zika virus,genomic RNA,,,Homo sapiens,Mexico,23-Jun-2016
KY120353.1,Zika virus,genomic RNA,,semen,Homo sapiens,South Korea,28-Apr-2016
KY120352.1,Zika virus,genomic RNA,,semen,Homo sapiens,South Korea,22-Mar-2016
MG494697.1,Zika virus,genomic RNA,ZIKV/Homo_sapiens/Mexico/INPER38b/2016,brain tissue,Homo sapiens; female newborn,Mexico: Veracruz,24-Nov-2016
KY766069.1,Zika virus,genomic RNA,Pf13/251013-18,cell supernatant,Homo sapiens,French Polynesia,25-Oct-2013
KU729218.1,Zika virus,genomic RNA,BeH818305,,Homo sapiens,Brazil,2015
KX447517.1,Zika virus,genomic RNA,1_0038_PF,serum,Homo sapiens,French Polynesia,Jan-2014
KX447516.1,Zika virus,genomic RNA,1_0111_PF,serum,Homo sapiens,French Polynesia,Jan-2014
KX447515.1,Zika virus,genomic RNA,1_0030_PF,serum,Homo sapiens,French Polynesia,Nov-2013
KX447514.1,Zika virus,genomic RNA,1_0035_PF,serum,Homo sapiens,French Polynesia,Jan-2014
KX447513.1,Zika virus,genomic RNA,1_0134_PF,serum,Homo sapiens,French Polynesia,Dec-2013
KX447512.1,Zika virus,genomic RNA,1_0181_PF,serum,Homo sapiens,French Polynesia,Dec-2013
KX447511.1,Zika virus,genomic RNA,1_0015_PF,serum,Homo sapiens,French Polynesia,Jan-2014
KX447510.1,Zika virus,genomic RNA,1_0049_PF,serum,Homo sapiens,French Polynesia,Dec-2013
KX447509.1,Zika virus,genomic RNA,1_0087_PF,serum,Homo sapiens,French Polynesia,Dec-2013
KX280026.1,Zika virus,genomic RNA,Paraiba_01,serum,Homo sapiens,Brazil,2015
MF801426.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/NIC/2016/Nicaragua-3912,,Homo sapiens,Nicaragua,25-Jul-2016
MF801423.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/MEX/2016/mex47,,Homo sapiens,Mexico: Guerrero,30-Jun-2016
MF801420.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/MEX/2016/mex44,,Homo sapiens,Mexico: Chiapas,04-Jul-2016
MF801418.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/MEX/2016/mex42,,Homo sapiens,Mexico: Chiapas,30-Jun-2016
MF801417.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/MEX/2016/mex40,,Homo sapiens,Mexico: Chiapas,01-Jul-2016
MF801414.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/MEX/2016/mex36,,Homo sapiens,Mexico: Guerrero,05-Jul-2016
MF801413.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/MEX/2016/mex35,,Homo sapiens,Mexico: Guerrero,07-Jul-2016
MF801412.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/MEX/2016/mex34,,Homo sapiens,Mexico: Guerrero,07-Jul-2016
MF801410.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/MEX/2016/mex32,,Homo sapiens,Mexico: Guerrero,05-Jul-2016
MF801409.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/MEX/2016/mex31,,Homo sapiens,Mexico: Chiapas,Jul-2016
MF801408.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/MEX/2016/mex30,,Homo sapiens,Mexico: Chiapas,05-Jul-2016
MF801407.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/MEX/2016/mex29,,Homo sapiens,Mexico: Oaxaca,05-Jul-2016
MF801406.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/MEX/2016/mex28,,Homo sapiens,Mexico: Oaxaca,07-Jul-2016
MF801404.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/MEX/2016/mex26,,Homo sapiens,Mexico: Guerrero,08-Jul-2016
MF801403.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/MEX/2016/mex25,,Homo sapiens,Mexico: Chiapas,25-May-2016
MF801402.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/MEX/2016/mex24,,Homo sapiens,Mexico: Chiapas,26-May-2016
MF801398.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/MEX/2016/mex17,,Homo sapiens,Mexico: Chiapas,20-May-2016
MF801396.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/MEX/2016/mex14,,Homo sapiens,Mexico: Chiapas,17-May-2016
MF801395.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/MEX/2016/mex05,,Homo sapiens,Mexico: Chiapas,09-May-2016
MF801391.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/MEX/2016/Mexico-3502,,Homo sapiens,Mexico: Oaxaca,06-Jul-2016
MF801389.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/HND/2016/Honduras-1162,,Homo sapiens,Honduras: Roatan,10-May-2016
MF801387.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/HND/2016/Honduras-1122,,Homo sapiens,Honduras: Roatan,29-Mar-2016
MF801384.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/HND/2016/Honduras-1031,,Homo sapiens,Honduras: Roatan,03-Feb-2016
MF801381.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/HND/2016/Honduras-24,,Homo sapiens,Honduras,2016
MF801378.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/GTM/2016/Guatemala-3921,,Homo sapiens,Guatemala,21-Jul-2016
KX906952.1,Zika virus,genomic RNA,2016\HND\19563,,Homo sapiens,Honduras,16-Apr-2016
MF794971.1,Zika virus,genomic RNA,,,Homo sapiens,Ecuador,01-May-2016
MF692778.1,Zika virus,genomic RNA,Thailand/1610acTw,,Homo sapiens,Taiwan,Oct-2016
MF664436.1,Zika virus,genomic RNA,Dominican Republic/2016/ZB,blood,Homo sapiens; female,Russia: Moscow,25-Aug-2016
KX879604.1,Zika virus,genomic RNA,EcEs089_16,serum,Homo sapiens,Ecuador: Esmeraldas,Apr-2016
KX879603.1,Zika virus,genomic RNA,EcEs062_16,serum,Homo sapiens,Ecuador: Esmeraldas,Apr-2016
MF574588.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2016
MF574587.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2016
MF574586.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2016
MF574585.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2016
MF574584.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2016
MF574583.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2016
MF574582.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2016
MF574581.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2016
MF574580.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2016
MF574579.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2016
MF574578.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2016
MF574577.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574576.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574575.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574574.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574573.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574572.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574571.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574570.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574569.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574568.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574567.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574566.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574565.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574564.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574563.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574562.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574561.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574560.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574559.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574558.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574557.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574556.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574555.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574554.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574553.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
MF574552.1,Zika virus,genomic RNA,,,Homo sapiens,Colombia: Barranquilla,Dec-2015
KU179098.2,Zika virus,genomic RNA,JMB-185,serum,Homo sapiens,Indonesia: Jambi,30-Dec-2014
KY553111.1,Zika virus,genomic RNA,AFMC-U,urine,Homo sapiens,South Korea,Apr-2016
KX247632.1,Zika virus,genomic RNA,MEX_I_7,,Aedes aegypti,Mexico,Nov-2015
MF434522.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/NIC/7253_13A1/2016,,Homo sapiens,Nicaragua: Managua,29-Aug-2016
MF434521.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/NIC/6547_13A1/2016,,Homo sapiens,Nicaragua: Managua,19-Jul-2016
MF434520.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/NIC/5847_12B1/2016,,Homo sapiens,Nicaragua: Managua,07-Feb-2016
MF434518.1,Zika virus,genomic RNA,ZIKV/Homo sapiens/NIC/5256_13A1/2016,,Homo sapiens,Nicaragua: Managua,26-Aug-2016
